Kommunenummer	Stadnamn	Prioritet	Stadtype nynorsk	Stadtype bokmål	Stadtype engelsk	Kommune	Fylke	Lat	Lon	Høgd	Nynorsk	Bokmål	Engelsk	
104	Bevøya	56	Øy i sjø	Øy i sjø	Island in sea	Moss	Østfold	59.51273	10.64085		http://www.yr.no/stad/Noreg/Østfold/Moss/Bevøya/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Bevøya/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Bevøya/forecast.xml
104	Dillingøya	56	Øy	Øy	Island	Moss	Østfold	59.43177	10.76051		http://www.yr.no/stad/Noreg/Østfold/Moss/Dillingøya/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Dillingøya/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Dillingøya/forecast.xml
104	Fiske	36	Byområde	Byområde	Part of a city	Moss	Østfold	59.43143	10.64650		http://www.yr.no/stad/Noreg/Østfold/Moss/Fiske/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Fiske/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Fiske/forecast.xml
104	Framnes	36	Byområde	Byområde	Part of a city	Moss	Østfold	59.42695	10.63636		http://www.yr.no/stad/Noreg/Østfold/Moss/Framnes/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Framnes/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Framnes/forecast.xml
104	Gjerrebogen	56	Tettbebyggelse	Tettbebyggelse	Settlement	Moss	Østfold	59.44089	10.68559		http://www.yr.no/stad/Noreg/Østfold/Moss/Gjerrebogen/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Gjerrebogen/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Gjerrebogen/forecast.xml
104	Grindvoll	36	Byområde	Byområde	Part of a city	Moss	Østfold	59.44950	10.69367		http://www.yr.no/stad/Noreg/Østfold/Moss/Grindvoll/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Grindvoll/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Grindvoll/forecast.xml
104	Gullholmen	46	Fyrlykt	Fyrlykt	Lantern	Moss	Østfold	59.43513	10.57684		http://www.yr.no/stad/Noreg/Østfold/Moss/Gullholmen/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Gullholmen/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Gullholmen/forecast.xml
104	Hopperen	36	Byområde	Byområde	Part of a city	Moss	Østfold	59.43324	10.63008		http://www.yr.no/stad/Noreg/Østfold/Moss/Hopperen/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Hopperen/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Hopperen/forecast.xml
104	Jeløy kirke	55	Kyrkje	Kirke	Church	Moss	Østfold	59.43658	10.63717		http://www.yr.no/stad/Noreg/Østfold/Moss/Jeløy_kirke/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Jeløy_kirke/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Jeløy_kirke/forecast.xml
104	Kambo	26	Tettstad	Tettsted	Small town	Moss	Østfold	59.48292	10.69578		http://www.yr.no/stad/Noreg/Østfold/Moss/Kambo/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Kambo/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Kambo/forecast.xml
104	Klommesten	36	Byområde	Byområde	Part of a city	Moss	Østfold	59.43037	10.67341		http://www.yr.no/stad/Noreg/Østfold/Moss/Klommesten/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Klommesten/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Klommesten/forecast.xml
104	Krapfoss	36	Byområde	Byområde	Part of a city	Moss	Østfold	59.43287	10.68640		http://www.yr.no/stad/Noreg/Østfold/Moss/Krapfoss/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Krapfoss/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Krapfoss/forecast.xml
104	Krossern	36	Byområde	Byområde	Part of a city	Moss	Østfold	59.44440	10.64636		http://www.yr.no/stad/Noreg/Østfold/Moss/Krossern/varsel.xml	http://www.yr.no/sted/Norge/Østfold/Moss/Krossern/varsel.xml	http://www.yr.no/place/Norway/Østfold/Moss/Krossern/forecast.xml
