Postnr	Poststad	Bruksområde	Kommunenummer	Lat	Lon	Merknad	Nynorsk	Bokmål	Engelsk	
7742	Yttervåg	Gateadresser og postboksar	1633	64.29620	10.29550	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7742/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7742/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7742/varsel.xml	
7744	Hepsøy	Gate-/veg-adresse	1633	64.32050	10.37330	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7744/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7744/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7744/varsel.xml	
7745	Oppland	Gate-/veg-adresse	1749	64.33780	10.86500	Datakvalitet: 2. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7745/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7745/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7745/varsel.xml	
7746	Hasvåg	Gate-/veg-adresse	1749	64.44480	10.59900	Datakvalitet: 2. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7746/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7746/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7746/varsel.xml	
7748	Sætervik	Gateadresser og postboksar	1633	64.39586	10.48840	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7748/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7748/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7748/varsel.xml	
7750	Namdalseid	Gate-/veg-adresse	1725	64.22240	11.22140	Datakvalitet: 2. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7750/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7750/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7750/varsel.xml	
7751	Namdalseid	Postboksar	1725	64.24377	11.20930	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7751/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7751/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7751/varsel.xml	
7760	Snåsa	Gate-/veg-adresse	1736	64.24450	12.37520	Datakvalitet: 5. Koordinatar endra 28.09.2012. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7760/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7760/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7760/varsel.xml	
7761	Snåsa	Postboksar	1736	64.24671	12.38384	Datakvalitet: 1. Koordinatar endra 11.10.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7761/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7761/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7761/varsel.xml	
7770	Flatanger	Gate-/veg-adresse	1749	64.50060	10.89400	Datakvalitet: 2. Koordinatar endra 18.11.2011. Oppdatert 18.10.2012	http://www.yr.no/sted/Norge/postnummer/7770/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7770/varsel.xml	http://www.yr.no/sted/Norge/postnummer/7770/varsel.xml	
